"TRI Facility ID","Facility Name","Address","Chemical Name","Industry","Prior Year Release *","Current Year Release *","Percent Change","Pollution Prevention Information (Activity Codes/Text/[Reduction])","P2 Report"
"40475SRMYB2091K","US ARMY BLUE GRASS ARMY DEPOT (US DEPARTMENT OF DEFENSE)","431 BATTLEFIELD MEMORIAL HWY ATTN: JMBG SSE BLDG S, RICHMOND,KY 40475","Dibutyl phthalate","928110: National Security","24,223.71","17,142.49","-29.23%","Source Reduction: W19: Other changes in operating practices - Reduction in the number of days Open Burn Open Detonation (OBOD) activities occur at the installation.",""
"30905HQSRMENVNA","U.S. ARMY HQ SIGNAL CENTER FORT GORDON (US DEPARTMENT OF DEFENSE)","515 15TH ST - ENV BRANCH (IMGO-PW) BLDG 14600, AUGUSTA,GA 30905","Lead","928110: National Security","8,140.30","5,920.00","-27.28%","Barriers to P2: Range training requires the use of lead containing ammunition.",""
"40475SRMYB2091K","US ARMY BLUE GRASS ARMY DEPOT (US DEPARTMENT OF DEFENSE)","431 BATTLEFIELD MEMORIAL HWY ATTN: JMBG SSE BLDG S, RICHMOND,KY 40475","Lead compounds","928110: National Security","3,141.29","2,396.62","-23.71%","Source Reduction: W19: Other changes in operating practices[-15-24%] - Reduced number of days Open Burn and Open Detonation was performed Methods to Identify SR Opportunities: T05 : EMPLOYEE RECOMMENDATION (INDEPENDENT OF A FORMAL COMPANY PROGRAM) - Command chose to cease Sunday Open Burn Open Detonation operations.",""
"75507SDDRDSDSRR","US ARMY RED RIVER ARMY DEPOT (US DEPARTMENT OF DEFENSE)","100 JAMES CARLOW DRIVE TARR-OL (BLDG 303B), TEXARKANA,TX 75507","Toluene","928110: National Security","11,134.00","8,717.00","-21.71%","Barriers to P2: THIS CHEMICAL IS PART OF THE CHEMICAL PROCESS",""
"84074TLRMYSDSTE","U.S. ARMY TOOELE ARMY DEPOT (US DEPARTMENT OF DEFENSE)","ATTN: JMTE-GME 1 TOOELE ARMY DEPOT BLDG 501, TOOELE,UT 840745003","Dibutyl phthalate","928110: National Security",".0026",".0021","-19.23%","Other Environmental Practices: Waste Treatment - Looking at alternative means of treatment",""
"31314SRMYF1550C","US ARMY FORT STEWART (PART) (US DEPARTMENT OF DEFENSE)","1550 VETERANS PARKWAY, FORT STEWART,GA 313145000","Lead compounds","928110: National Security","39,597.00","33,484.00","-15.44%","Barriers to P2: Chemical released is related to activity on small arms ranges for Army training.",""
"3140WHNTRR16MAC","HUNTER ARMY AIRFIELD FIRING RANGES (US DEPARTMENT OF DEFENSE)","106 MACARTHUR CIRCLE, HUNTER ARMY AIRFIELD,GA 31409","Lead","928110: National Security","733.00","641.00","-12.55%","Barriers to P2: Total quantities released are directly related to small arms usage during armed forces training events.",""
"68901SRMYN6700E","US ARMY NATIONAL GUARD GREENLIEF TRAINING SITE RANGES (US DEPARTMENT OF DEFENSE)","6700 EAST J STREET, HASTINGS,NE 68901","Lead","928110: National Security","3,696.00","3,233.30","-12.52%","Barriers to P2: Source reduction is not implemented because lead releases are due to shooting range activities for military weapons training. Reducing training for Soldiers does not support mission requirements.",""
"42223SRMYF8MILE","US ARMY FORT CAMPBELL (US DEPARTMENT OF DEFENSE)","IMCB PWE BLDG 5134 2ND ST & WICKHAM AVE, FORT CAMPBELL,KY 42223","Lead compounds","928110: National Security","224,088.00","220,203.00","-1.73%","Source Reduction: Source Reduction - Due to Covid-19 Fort Campbell was closed down for personal actives",""
"95903SDDSFENDOF","U.S. DOD, USAF, BEALE AFB (US DEPARTMENT OF DEFENSE)","9 CES/CEIE 6425 B ST, BEALE AFB,CA 95903","Lead","928110: National Security","3,748.50","3,716.30","-.86%","Barriers to P2: The TRI chemical lead reported on this Form R was otherwise used at Beale AFB during required munitions training performed by military personnel at installation ranges. Because this training is essential to maintaining installation security and mission readiness; Department of Defense policy excludes this activity from being limited to meet TRI reduction goals.",""
"04401SRMYM3HILD","US ARMY MAINE NATIONAL GUARD BANGOR TRAINING SITE RANGE (US DEPARTMENT OF DEFENSE)","300 HILDRETH ST N, BANGOR,ME 04401","Lead","928110: National Security","5.45","5.44","-.26%","Source Reduction: W19: Other changes in operating practices[-50-99%] - Installed a baffled range with metal backstops that captures a minimum of 99% of the lead to minimize releases to the environment and facilitate future recycling.Source Reduction: W82: Modified design or composition of product[-15-24%] - Changed a majority of the bullets from a lead slug to a copper slug.  Source Reduction: Source Reduction - Changed a majority of the bullets from a lead slug to a copper slug.  Based on previous years reporting of similar rounds fired this reduced lead releases by 24%.Source Reduction: Ways P2 Was Incorporated in Original Process Design - According to Military calculations based on ammo type and usage amounts 544 pounds of lead was shot down range at targets in 2020 The range is baffled for safety purposes and to minimize the release of lead to the environment. There are bullet stops thatcapture a minimum of 99% of the lead to minimize release to the environment and facilitate recycling. For reporting purposes we calculated 1% of the lead misses the target and is released to the land as other disposal, 5.44 pounds.",""
"7801WCMPST258RA","CAMP STANLEY (NA)","25800 RALPH FAIR ROAD/0.5 MIL. E. HWY 10, BOERNE,TX 78015","Lead","928110: National Security","3,746.40","3,742.80","-.1%","Source Reduction: W19: Other changes in operating practices[-0-4%] - If Mission requirements allow, reduction on generation of waste is exercised. Methods to Identify SR Opportunities: T11 : OTHER - Generation of the product based on Mission Requirements   Barriers to P2: Although we have a 5% reduction from the previous year 0f 2019 compared to 2020 product/activity depends on Mission Related Requirements which we have no control over.Other Environmental Practices: Recycling - We continue to send all of our lead for recycling.",""
"92055MRNCRPOBOX","US MARINE CORPS MCB CAMP PENDLETON (US DEPARTMENT OF DEFENSE)","BLDG 22165 11TH ST, CAMP PENDLETON,CA 920558008","Manganese","928110: National Security","1.00","1.00","0%","Source Reduction: W21: Instituted procedures to ensure that materials do not stay in inventory beyondSource Reduction: W23: Eliminated shelf-life requirements for stable materials  Source Reduction: MCB Camp Pendleton has established several P2 programs for limiting purchases and use of hazardous materials such as; Just-In-Time Inventory, authorized user lists, hazardous materials reuse program, shelf life extension program and greenprocurement program.",""
"92055MRNCRPOBOX","US MARINE CORPS MCB CAMP PENDLETON (US DEPARTMENT OF DEFENSE)","BLDG 22165 11TH ST, CAMP PENDLETON,CA 920558008","Lead compounds","928110: National Security",".40",".40","0%","Source Reduction: W21: Instituted procedures to ensure that materials do not stay in inventory beyondSource Reduction: W23: Eliminated shelf-life requirements for stable materials  Source Reduction: MCB Camp Pendleton has established several P2 programs for limiting purchases and use of hazardous materials such as; Just-In-Time Inventory, authorized user lists, hazardous materials reuse program, shelf life extension program and greenprocurement program.Other Environmental Practices: Recycling - Brass from spent munitions is collected, deformed and sold for recycle.",""
"7690WGDFLL46EAS","DOD USAF GOODFELLOW AFB (US DEPARTMENT OF DEFENSE)","460 E. KEARNEY BLVD, GOODFELLOW AFB,TX 76908","Lead","928110: National Security","0","0","0%","Source Reduction: W13: Improved maintenance scheduling, recordkeeping, or procedures[-5-14%] - GAFB CATM employees have increased their tracking and monitoring cap-abilities through their local process.",""
"19112SDDSNCODE1","PHILADELPHIA NAVAL SHIPYARD (US DEPARTMENT OF DEFENSE)","S BROAD ST, PHILADELPHIA,PA 19112","Manganese","928110: National Security","0","0","0%","Barriers to P2: NFPC activities are classified.",""
"5940WTHFGH28AIR","US DOD, USAF, 120TH FIGHTER WING MONTANA ANG (US DEPARTMENT OF DEFENSE)","2800 AIRPORT AVE B, GREAT FALLS,MT 59404","Lead","928110: National Security","0","0","0%","Source Reduction: Source Reduction - Security Forces Squadron has started the purchase of frangible bullets. As long as the supply chain keeps up with the demand, the lead bullets will be completely phased out by frangible ones.",""
"84065SRMYC178SR","US ARMY NATIONAL GUARD CAMP WILLIAMS RANGES (US DEPARTMENT OF DEFENSE)","17800 S REDWOOD RD, RIVERTON,UT 84065","Lead","928110: National Security","11,046.60","11,408.20","3.27%","Source Reduction: W82: Modified design or composition of product  Source Reduction: Source Reduction - TRANISITONING TO NEW GREEN BULLET, WHICH CONTAINS LESS LEAD.",""
"92055MRNCRPOBOX","US MARINE CORPS MCB CAMP PENDLETON (US DEPARTMENT OF DEFENSE)","BLDG 22165 11TH ST, CAMP PENDLETON,CA 920558008","Lead compounds","928110: National Security","206,865.20","227,618.00","10.03%","Source Reduction: W82: Modified design or composition of product Methods to Identify SR Opportunities: T11 : OTHER - Transition to an enhanced performance round with lower lead content has reduced lead use and releases.",""
"85613SRMYGATTNA","USDOD US ARMY FORT HUACHUCA - RANGES (US DEPARTMENT OF DEFENSE)","3040 BUTLER ROAD   IMHU-PWB, FORT HUACHUCA,AZ 85613","Lead","928110: National Security","4,353.00","4,955.00","13.83%","Source Reduction: Source Reduction - Lead is contained in the ammunition used on various ranges at Ft. Huachuca. The Army is experimenting with the use of ""greener"" ammunition that will contain less lead but it is currently not available at this installation.",""
"02542SCSTG3162H","US COAST GUARD BASE CAPE COD (US DEPARTMENT OF HOMELAND SECURITY)","5215 E HOSPITAL RD - EHS BUILDING, BUZZARDS BAY,MA 02542","Lead","928110: National Security","1,460.00","4,015.00","175%","Source Reduction: W42: Substituted raw materials[-50-99%] - Replaced lead ammunition with Copper frangible rounds at small arms firing range  Other Environmental Practices: Recycling - Managed a on base recycling center to segregate recyclable materials, minimizing landfill introductions.Source Reduction: Source Reduction - Maintained requirements of Statements of essential needs for the purchase of dangerous goods.Other Environmental Practices: General Environmental Management - USCG Base Cape Cod holds a SQGS permit and also maintains a Hazardous Waste Management Plan that allows for the more effective management of waste materials within the community.",""
"05465SRMYTETHAN","US ARMY NATIONAL GUARD ETHAN ALLEN FIRING RANGE (US DEPARTMENT OF DEFENSE)","ETHAN ALLEN FIRING RANGE, JERICHO,VT 05465","Lead","928110: National Security","7,011.00","20,332.00","190%","Barriers to P2: The Vermont Army National Guard's mission is to maintain properly trained and equipped units, available for prompt mobilization for war, domestic emergencies and disasters, or as otherwise needed. To fulfill this mission, VTARNG trains Soldiers at Ethan Allen Firing Range year-round. Part of that training is the firing of ammunition containing lead, which is released into the environment but stays on-site at ranges.Barriers to P2: Range Firing Activities: the only way to reduce releases would be to reduce firing which would impact training value.",""
"89023SDNVDUSHWY","US DOE NNSA/NFO NEVADA NATIONAL SECURITY SITE (US DEPARTMENT OF ENERGY)","N OF US HWY 95 AT MERCURY INTERCHANGE, MERCURY,NV 89023","Mercury","928110: National Security","125.29","380.43","203.64%","Barriers to P2: Mercury is contained within the waste that is received for disposal from off-site facilities.  The amount of waste and mercury varies from year to year.",""
"0388WSRMYN19AUS","US ARMY NATIONAL GUARD STRAFFORD TRAINING SITE RANGE (US DEPARTMENT OF DEFENSE)","19 AUSTIN CATE DR, STRAFFORD,NH 03884","Lead","928110: National Security","2.73","9.23","238.1%","Other Environmental Practices: Recycling - Baffled Range use with Rubber Bullet Trap captures 99% of fired bullets, captured in a concrete enclosure containment unit behind the target area.  Eventually all the capture spent bullets will be recovered from the trap and the metal will be recycled through an offsite metal recycling operationOther Environmental Practices: General Environmental Management - Baffled Range use with Rubber Bullet Trap captures 99% of fired bullets, captured in a concrete enclosure containment unit behind the target area.  Eventually all the capture spent bullets will be recovered from the trap and the metal will be recycled through an offsite metal recycling operation.  Baffled range enclosure restricts lead contaminants from being scattered to a larger area, and provides easy recovery, and avoid sensitive natural resources at the site.Source Reduction: Ways P2 Was Incorporated in Original Process Design - Enclosed Baffled Range with walls and containment unit (shredded rubber bullet trap).  Concrete walls, bullet trap, and baffled panels in ceiling ensure bullets are confined to interior of range area.  Bullets that are not captured by rubberized bullet trap may be screened at a later date to recover remaining bullets, through use of magnet or racking of gravel area.  This may be done on an ongoing basis as a regular maintenance procedure for the range.",""
"96113SRRRMSIERR","US ARMY SIERRA ARMY DEPOT (US DEPARTMENT OF DEFENSE)","74 C STREET BUILDING # 63, HERLONG,CA 96113","Chromium","928110: National Security","8,905.14","114,955.00","1190.88%","",""
"3209WCMPBL5629S","US ARMY NATIONAL GUARD CAMP BLANDING RANGES (US DEPARTMENT OF DEFENSE)","5629 STATE ROAD 16 WEST, STARKE,FL 32091","Lead compounds","928110: National Security","789.20","18,010.20","2182.08%","Other Environmental Practices: General Environmental Management - Monitoring ranges through sampling.",""
"20670SDDNVNAVAL","US NAVAL AIR STATION PATUXENT RIVER (US DEPARTMENT OF DEFENSE)","22445 PEARY RD BUILDING 504 PWD ENVIRONMENTAL DEPT., PATUXENT RIVER,MD 20670","Lead","928110: National Security",".53","729.00","136416.85%","Other Environmental Practices: Recycling - Pb-containing munitions that are cleaned/recovered from the berm are sent to a metal recyclerSource Reduction: Ways P2 Was Incorporated in Original Process Design - Facility firing ranges incorporate INDOOR berms (i.e., no on-site releases of munitions to land). The small arms range also includes a HEPA filter on the building's exhaust, which minimizes onsite releases of pollutants to air from munition-firing activities.",""
"35898SDDSRBUILD","US ARMY GARRISON-REDSTONE (US DEPARTMENT OF DEFENSE)","4488 MARTIN RD (IMRE PWE), HUNTSVILLE,AL 35898","Asbestos (friable)","928110: National Security","0","170,663.00","∞","Barriers to P2: Emission factor assumed from California South Coast AQMD that reflected an EPA emission factor. http://www.aqmd.gov/docs/default-source/planning/annual-emission-reporting/guidelines-for-asbestos-abatement-demolition.pdf?sfvrsn=8 which also discusses the assumption used to determining default emissions factors: Average debris concentration =25 percent (U.S. EPA).",""
"99619SCSTGCOAST","US COAST GUARD BASE KODIAK (US DEPARTMENT OF HOMELAND SECURITY)","BLDG N38 REZANOF HWY & CAPE SARICHEF RD, KODIAK,AK 99619","Lead","928110: National Security","0","971.29","∞","Source Reduction: W13: Improved maintenance scheduling, recordkeeping, or procedures[-0-4%] - Improved Stormwater and P2  best management practices reduced releases",""
"57706SDDSR1161T","U.S. DOD USAF, ELLSWORTH AFB (US DEPARTMENT OF DEFENSE)","1959 SCOTT DR STE 1, ELLSWORTH AFB,SD 57706","Benzene","928110: National Security","0","43.00","∞","Barriers to P2: The chemical is a natural constituent of Jet A fuel dispensed from this facility. There is no alternative for military aircraft that contains less benzene than Jet A fuel.",""
"2221WSRMYJ24LEE","US ARMY JOINT BASE MYER-HENDERSON HALL (JBM-HH) (US DEPARTMENT OF DEFENSE)","204 LEE AVE, FORT MYER,VA 222111116","Lead","928110: National Security","0","1.00","∞","Other Environmental Practices: The facility four years ago in approximately 2017 retained a vendor to remove and recycle the spent lead from the range.   Depending on range use, the facility will schedule the removal and recycling of the spent lead.  Range use varies, however has been down overall from 2017/2018 since less personnel are using the range.",""
"18466TBYHNMAILS","US ARMY TOBYHANNA ARMY DEPOT (US DEPARTMENT OF DEFENSE)","11 HAP ARNOLD BLVD, TOBYHANNA,PA 18466","Lead","928110: National Security","0",".50","∞","Barriers to P2: The Department of Defense has not developed an acceptable alternative for lead solder on circuit boards.",""
"91109NSJTP4800O","NASA JET PROPULSION LABORATORY (NATIONAL AERONAUTICS & SPACE ADMINISTRATION)","4800 OAK GROVE DR MS/ 200-119, PASADENA,CA 91109","Lead","927110: Space Research and Technology",".0035",".0015","-57.14%","Source Reduction: Methods for Identifying Pollution Prevention Opportunities - JPL Protective Services personnel (Federal employees) is continuing to use gun range bullet trap for training purposes. The rubber bullet trap prevents lead bullets from entering the environment, and allows lead bullets to be recycled offsite. In addition, JPL uses brass-jacketed bullets which reduce the lead emissions resulting from firing the bullet by 90%.Barriers to P2: JPL Protective Services has opted to use the brass-jacketed lead bullets rather than using non-lead bullets. The non-lead bullets react differently, and JPL's Protective Services organization needs to practice with the same type of ammunition that will be used in defensive situations.",""
"35812NSMRSMARSH","NASA MARSHALL SPACE FLIGHT CENTER (NATIONAL AERONAUTICS & SPACE ADMINISTRATION)","NASA-AS01 BLDG 4200, HUNTSVILLE,AL 35812","Lead","927110: Space Research and Technology","2,143.70","5,118.24","138.76%","Source Reduction: W78: Other surface preparation and finishing modifications[-0-4%] - MSCF's plating shop was permanently closed at the end of CY 2019, effectively ending POTW monitoring for metals, as well as on-site waste treatment methods. Methods to Identify SR Opportunities: T11 : OTHER - Removal and proper disposal of all chemicals and associated equipment and/or infrastructure from location.Methods to Identify SR Opportunities: T11 : OTHER - MSCF's plating shop was permanently closed at the end of CY 2019, effectively ending POTW monitoring for metals, as well as on-site waste treatment methods.   Barriers to P2: Lead from batteries to continue mission essential operations as well as from skeet club and firing range.",""
"35812NSMRSMARSH","NASA MARSHALL SPACE FLIGHT CENTER (NATIONAL AERONAUTICS & SPACE ADMINISTRATION)","NASA-AS01 BLDG 4200, HUNTSVILLE,AL 35812","Nickel","927110: Space Research and Technology","126.72","329.20","159.79%","Source Reduction: W78: Other surface preparation and finishing modifications[-0-4%] - MSCF's plating shop was permanently closed at the end of CY 2019, effectively ending POTW monitoring for metals, as well as on-site waste treatment methods. Methods to Identify SR Opportunities: T11 : OTHER - Removal and proper disposal of all chemicals and associated equipment and/or infrastructure from location.   Barriers to P2: Scrap metal from research and flight or mission critical hardware.",""
"35812NSMRSMARSH","NASA MARSHALL SPACE FLIGHT CENTER (NATIONAL AERONAUTICS & SPACE ADMINISTRATION)","NASA-AS01 BLDG 4200, HUNTSVILLE,AL 35812","Chromium","927110: Space Research and Technology","16.18","135.00","734.36%","Source Reduction: W78: Other surface preparation and finishing modifications[-0-4%] - MSCF's plating shop was permanently closed at the end of CY 2019, effectively ending POTW monitoring for metals, as well as on-site waste treatment methods. Methods to Identify SR Opportunities: T11 : OTHER - Removal and proper disposal of all chemicals and associated equipment and/or infrastructure from location.   Barriers to P2: Chromium from stainless steel in recycling scrap metal.",""
"9210WSCSTG271NH","US COAST GUARD SECTOR SAN DIEGO CA (NA)","2710 N HARBOR DR, SAN DIEGO,CA 92101","Naphthalene","926120: Regulation and Administration of Transportation Programs","0","0","0%","Source Reduction: W13: Improved maintenance scheduling, recordkeeping, or procedures - Better inspect fuel deliveries to ensure the highest quality product is received prior to its acceptance. Methods to Identify SR Opportunities: T11 : OTHER - Accept fuel from defense fuels provider--La Playa Navy Fuel Pier--because they have the highest quality fuel in the area.  Additionally, they inspect and ensure fuel hauler tanker trucks are clean prior to fuel transfers.",""
"95318SNTNLPOBOX","US NATL PARK SERVICE YOSEMITE NATL PARK (US DEPARTMENT OF THE INTERIOR)","9039 VILLAGE DR, YOSEMITE NATIONAL PARK,CA 95389","Lead","924120: Administration of Conservation Programs","0","380.00","∞","Source Reduction: Source Reduction - Long Term Goal to Increase Use of Non-Lead Ammunition Where Feasible",""
"82190SDYLLBOX16","US NATL PARK SERVICE YELLOWSTONE NATIONAL PARK (US DEPARTMENT OF THE INTERIOR)","YELLOWSTONE NATIONAL PARK, YELLOWSTONE NATIONAL PARK,WY 82190","Lead","924120: Administration of Conservation Programs","0","203.74","∞","Source Reduction: YELL continues to utilize non-lead ammunition for firearms trainings and one of the two required yearly qualifications.",""
"3660WCSTGR8551T","COAST GUARD ATC EXCHANGE (NA)","8551 TANNER WILLIAMS RD, MOBILE,AL 36608","Toluene","924120: Administration of Conservation Programs","0","102.00","∞","",""
"3660WCSTGR8551T","COAST GUARD ATC EXCHANGE (NA)","8551 TANNER WILLIAMS RD, MOBILE,AL 36608","Ethylbenzene","924120: Administration of Conservation Programs","0","20.00","∞","",""
"3660WCSTGR8551T","COAST GUARD ATC EXCHANGE (NA)","8551 TANNER WILLIAMS RD, MOBILE,AL 36608","n-Hexane","924120: Administration of Conservation Programs","0","20.00","∞","",""
"3660WCSTGR8551T","COAST GUARD ATC EXCHANGE (NA)","8551 TANNER WILLIAMS RD, MOBILE,AL 36608","Methyl tert-butyl ether","924120: Administration of Conservation Programs","0","20.00","∞","",""
"3660WCSTGR8551T","COAST GUARD ATC EXCHANGE (NA)","8551 TANNER WILLIAMS RD, MOBILE,AL 36608","Benzene","924120: Administration of Conservation Programs","0","20.00","∞","",""
"3660WCSTGR8551T","COAST GUARD ATC EXCHANGE (NA)","8551 TANNER WILLIAMS RD, MOBILE,AL 36608","Cumene","924120: Administration of Conservation Programs","0","10.00","∞","",""
"3660WCSTGR8551T","COAST GUARD ATC EXCHANGE (NA)","8551 TANNER WILLIAMS RD, MOBILE,AL 36608","Naphthalene","924120: Administration of Conservation Programs","0","10.00","∞","",""
"8575WFCCTC93SWI","FCC TUCSON (US DEPARTMENT OF JUSTICE)","9300 S. WILMOT ROAD, TUCSON,AZ 85756","Lead","922140: Correctional Institutions","4,225.37","1,605.43","-62.01%","Other Environmental Practices: General Environmental Management - The firing range is inspected after each use, and a detailed monthly inspection is conducted to ensure no erosion. Soil is added as needed to maintain integrity.Barriers to P2: As a federal law enforcement/Bureau of Prisons facility, we are under strict training requirements which includes firing rangetime for every employee, as well as a national training site for the entire bureau's Special Operations Response Team Leaders.We also maintain a MOU with the Border Patrol for usage of our firing range for their requirements.",""
"3031WNTDST61MCD","US PENITENTIARY (US DEPARTMENT OF JUSTICE)","601 MCDONOUGH BLVD, SE, ATLANTA,GA 30315","Lead","922140: Correctional Institutions","2,104.22","1,004.18","-52.28%","Source Reduction: W19: Other changes in operating practices",""
"0357WFCBRLPBX69","FCI BERLIN (US DEPARTMENT OF JUSTICE)","1 SUCCESS LOOP, BERLIN,NH 03570","Lead","922140: Correctional Institutions","617.60","310.78","-49.68%","Source Reduction: Source Reduction - Our waste is generated by the use of a firing range. As national policy dictates proficiency in using firearms and an annual qualification requirement. This requirement must be met by all employees, reduction opportunities is limited.",""
"17837NTDSTRD5XX","US BUREAU OF PRISONS LEWISBURG PENITENTIARY (US DEPARTMENT OF JUSTICE)","2400 ROBERT MILLER DR, LEWISBURG,PA 17837","Lead","922140: Correctional Institutions","206.20","142.69","-30.8%","",""
"3244WFDRLC3625F","FEDERAL CORRECTIONAL INSTITUTION MARIANNA (US DEPARTMENT OF JUSTICE)","3625 FCI RD, MARIANNA,FL 32446","Lead","922140: Correctional Institutions","810.75","649.65","-19.87%","",""
"2581WFDRLCPBX12","FEDERAL CORRECTIONAL INSTITUTION BECKLEY (US DEPARTMENT OF JUSTICE)","1600 INDUSTRIAL PARK ROAD, BEAVER,WV 25813","Lead","922140: Correctional Institutions","134.04","112.67","-15.94%","Barriers to P2: No known substitutes or alternative technologies",""
"7860WFDRLC1341H","FEDERAL CORRECTIONAL INSTITUTION BASTROP (US DEPARTMENT OF JUSTICE)","1341 HWY 95 N, BASTROP,TX 78602","Lead","922140: Correctional Institutions","695.50","597.15","-14.14%","Source Reduction: W19: Other changes in operating practices[-0-4%]",""
"3544WFCLCV117HI","FCI ALICEVILLE FEDERAL BUREAU OF PRISONS (US DEPARTMENT OF JUSTICE - FEDERAL BUREAU OF PRISON)","11070 HWY 14, ALICEVILLE,AL 35442","Lead","922140: Correctional Institutions","659.00","620.00","-5.92%","",""
"38134FCMMP111JH","FCI MEMPHIS (US DEPARTMENT OF JUSTICE)","1101 JOHN A DENIE RD, MEMPHIS,TN 38134","Lead","922140: Correctional Institutions","711.93","671.76","-5.64%","Source Reduction: Source Reduction - Increased purchase and use of LED Lighting and non flushing toilets, motion activated lights.",""
"26525SPHZL164SK","FCC HAZELTON (US DEPARTMENT OF JUSTICE)","1640 SKY VIEW DR, BRUCETON MILLS,WV 26525","Lead","922140: Correctional Institutions","1,267.63","1,259.76","-.62%","Barriers to P2: Lead is from mandatory firearms qualification.Other Environmental Practices: General Environmental Management - A comprehensive environmental management system has been implemented to include periodic inspections.  Additionally, a proper earthen impact mound is maintained to catch spent lead rounds.  Spent brass is collected and recycled.Barriers to P2: Lead is from ammunition for mandatory firearms qualifications.",""
"9611WFDRLB74192","FEDERAL BUREAU OF PRISONS FCI HERLONG (US DEPARTMENT OF JUSTICE)","741-925 HERLONG ACCESS RD A-25, HERLONG,CA 96113","Lead","922140: Correctional Institutions","373.96","373.96","0%","",""
"7146WFDRLCPB55X","FEDERAL CORRECTIONAL COMPLEX OAKDALE LOUSIANA (US DEPARTMENT OF JUSTICE)","1507 E WHATLEY RD, OAKDALE,LA 71463","Lead","922140: Correctional Institutions","991.31","1,088.23","9.78%","Other Environmental Practices: Evaluate the use of non lead ammunition",""
"8508WFDRLB379N4","FEDERAL BUREAU OF PRISONS FCI PHOENIX (NA)","37900 N. 45TH AVE, PHOENIX,AZ 85086","Lead","922140: Correctional Institutions","0","1,090.00","∞","Other Environmental Practices: Recycling - The facility continues to concentrate on all recycling efforts to further improve landfill diversion.Other Environmental Practices: General Environmental Management - The facility has an ongoing Environmental Management System (EMS) program with an effective committee. The committee has involvement into preserving the principles of EMS.",""
