OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
ARS,Agricultural Research Service,ARS-IDUSR-IDUSRRCP,IDUSRRCP,,"IDUSRRCP is an irrigation return flow monitoring station on Rock Creek, a tributary of the Snake River, at Poleline Road located within the Twin Falls Irrigation Tract, which is managed by the Twin Falls Canal Company (TFCC), in the Upper Snake Rock watershed.  Rock Creek receives flow from IDUSRRCH, seasonal irrigation return flow and continuous subsurface drain flow. Water stage at a rated section is automatically recorded by a data logger operated by the ARS. The ARS automatically collects time-composite (5 h) water quality samples from March-November, and manually collects water quality samples weekly during the winter. Water and air temperature and gage height are manually recorded weekly all year.  The actual drainage area may vary due to the area encompassing the irrigation supply and irrigation return flow paths that may not correspond with the DEM.",17040212,20251,ha,,,42.5941515148,-114.529875217,,,,,NAD83,,,,,,,US,16,083,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,ARS-IDUSR-IDUSRTFB,IDUSRTFB,,"IDUSRTFB is an irrigation return flow monitoring station on Twin Falls Coulee located on private property within the Twin Falls Irrigation Tract, which is managed by the Twin Falls Canal Company (TFCC), in the Upper Snake Rock watershed. This coulee is a tributary to the Snake River and receives seasonal irrigation return flow.  The ARS manually collects a water quality sample and records the gage height.",17040212,,,,,42.5700000000,-114.340000000,,,,,NAD83,,,,,,,US,16,083,,,,,,,,,STEWARDS
USGS-AK,USGS Alaska Water Science Center,USGS-15008000,SALMON R NR HYDER AK,Stream,,19010106,107,sq mi,,,56.02581500000000,-130.0669823000000,63360,3,seconds,Interpolated from MAP.,NAD83,295.00,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,198,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15015593,UNUK R 1 MI AB BLUE RIVER NR WRANGELL AK,Stream,,19010105,,,,,56.25791667000000,-130.8202778000000,63360,1,seconds,Interpolated from Digital MAP.,NAD83,110,feet,10,feet,Interpolated from topographic map.,NAVD88,US,02,130,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15015595,UNUK R BL BLUE R NR WRANGELL AK,Stream,,19010105,745,sq mi,,,56.24020620000000,-130.8819864000000,63360,3,seconds,Interpolated from MAP.,NAD83,150,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,130,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15024740,STIKINE R 2 MI BL US/CANADA BORDER NR WRANGELL AK,Stream,,19010207,,,,,56.64744440000000,-131.8949167000000,63360,1,seconds,Interpolated from Digital MAP.,NAD83,20,feet,10,feet,Interpolated from topographic map.,NAVD88,US,02,275,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15024800,STIKINE R NR WRANGELL AK,Stream,,19010207,19630,sq mi,,,56.70772188000000,-132.1319653000000,63360,10,seconds,Interpolated from MAP.,NAD83,25.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,275,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15041200,TAKU R NR JUNEAU AK,Stream,,19010304,6500,sq mi,,,58.53829828000000,-133.7017432000000,63360,10,seconds,Interpolated from MAP.,NAD83,50,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,110,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15129120,ALSEK R AT DRY BAY NR YAKUTAT AK,Stream,,19010404,11000,sq mi,,,59.19280560000000,-138.3339167000000,63360,1,seconds,Interpolated from Digital MAP.,NAD83,50,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,282,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15565447,YUKON R AT PILOT STATION AK,Stream,,19090304,318300,sq mi,,,61.93368660000000,-162.8829356000000,63360,1,seconds,Interpolated from MAP.,NAD83,20.00,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,270,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-02429500,ALABAMA RIVER AT CLAIBORNE AL,Stream,,03150204,21967.00,sq mi,,,31.54682748000000,-87.5124908000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,0.40,feet,.01,feet,Unknown.,NGVD29,US,01,099,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-02469762,TOMBIGBEE R BL COFFEEVILLE L&D NEAR COFFEEVILLE,Stream,,03160201,18417.00,sq mi,18417.00,sq mi,31.75710180000000,-88.1250095000000,,1,seconds,Interpolated from MAP.,NAD83,0.00,feet,.10,feet,Level or other surveyed method.,NGVD29,US,01,023,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-302438087325801,Well Ag & Industries 8 Baldwin Cnty AL,Well,,03140107,,,,,30.41055556000000,-87.5494444000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,85,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,01,003,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-302610087463401,VV  22  Baldwin County,Well,,03160205,,,,,30.43600000000000,-87.7760000000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,77,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,01,003,,,,20200401,240,ft,240,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-303231087525801,Well Ag & Industries 7 Baldwin Cnty AL,Well,,03160205,,,,,30.54194444000000,-87.8827778000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,130,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,003,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-303252087500801,Well Ag & Industries 6 Baldwin Cnty AL,Well,,03160205,,,,,30.54777778000000,-87.8355556000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,115,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,003,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-303432087485501,Well Ag & Industries 5 Baldwin Cnty AL,Well,,03160205,,,,,30.57555556000000,-87.8152778000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,129,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,01,003,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-310153085225901,Well S 10 310153085225901 Houston Cnty AL,Well,,03130012,,,,,31.03157076000000,-85.3829885000000,24000,1,seconds,Interpolated from MAP.,NAD83,160,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,069,Floridan aquifer system,Ocala Limestone,,199810,95,ft,95,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-310453085383001,Well Ag & Industries 4 Geneva Cnty AL,Well,,03140201,,,,,31.08138889000000,-85.6416667000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,253,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,01,061,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-311048085403201,Well Ag & Industries 3 Geneva Cnty AL,Well,,03140201,,,,,31.18000000000000,-85.6755556000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,300,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,01,061,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-312119085192901,Well X 6,Well,,03140201,,,,,31.35520000000000,-85.3248000000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,371,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,01,067,,,,20190911,43.68,ft,44,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-343940087290601,Well EHR-LUS37 Colbert Cnty AL,Well,,06030005,,,,,34.66105556000000,-87.4848611000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,572,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,033,Mississippian aquifers,"Mississippian, Upper",Unconfined single aquifer,20111117,41.5,ft,41.5,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-344348086493401,EHR-LUS35,Well,,06030002,,,,,34.73005556000000,-86.8261111000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,640,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,083,Mississippian aquifers,Fort Payne Chert/formation,Unconfined single aquifer,19991023,53,ft,54,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-345112086313401,EHR-LUS13,Well,,06030002,,,,,34.85344444000000,-86.5261667000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,705,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,089,Mississippian aquifers,Fort Payne Chert/formation,Unconfined single aquifer,19991019,35,ft,35,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-345822086254001,EHR-LUS11,Well,,06030002,,,,,34.97272220000000,-86.4279167000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,858,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,089,Mississippian aquifers,Fort Payne Chert/formation,Unconfined single aquifer,19991018,50,ft,52,ft,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07048495,"Town Branch at Armstrong St. at Fayetteville, AR",Stream,,11010001,,,,,36.04325830000000,-94.1360222000000,24000,Unknown,Unknown,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1169.78,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,143,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07048550,"West Fork White River east of Fayetteville, AR",Stream,,11010001,123,sq mi,,,36.05388889000000,-94.0830556000000,,10,seconds,Interpolated from MAP.,NAD83,1149.48,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,143,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07075270,"South Fork of Little Red River near Scotland, AR",Stream,,11010014,74.7,sq mi,,,35.56972220000000,-92.6219444000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,663.57,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,141,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-071948095,"Mud Creek near Johnson, AR",Stream,,11110103,,,,,36.12280830000000,-94.1625611000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,143,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-072632968,"Lk Maumelle at Mouth of Pigeon Roost Cr nr Wye, AR","Lake, Reservoir, Impoundment",,11110207,2.56,sq mi,,,34.87388889000000,-92.6338889000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,119,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07263620,"AR River@David D Terry L&D below Little Rock, AR",Stream,,11110207,158429,sq mi,136188,sq mi,34.68111110000000,-92.1513889000000,,10,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,119,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,,14070006,111800,sq mi,,,36.86433330000000,-111.5878722000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,3083,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,005,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09400815,"NEWMAN CANYON ABOVE UPPER LAKE MARY, AZ",Stream,,15020015,22.3,sq mi,,,35.05494444000000,-111.4892222000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,6860,feet,30,feet,Interpolated from Digital Elevation Model,NGVD29,US,04,005,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09424000,"COLORADO RIVER NR TOPOCK, AZ.",Stream,,15030101,176300,sq mi,172300,sq mi,34.68750788000000,-114.4627382000000,,10,seconds,Interpolated from MAP.,NAD83,423.02,feet,20,feet,Unknown.,NGVD29,US,04,015,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09426600,"BILL WILLIAMS RIVER AT MINERAL WASH, NR PLANET, AZ",Stream,,15030204,5320.00,sq mi,5310.00,sq mi,34.25501565000000,-114.0096647000000,24000,10,seconds,Interpolated from MAP.,NAD83,450.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,012,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09429100,"COLORADO RIVER BELOW PALO VERDE DAM, AZ-CA",Stream,,15030104,182200,sq mi,178241,sq mi,33.71946626000000,-114.4980105000000,24000,10,seconds,Interpolated from MAP.,NAD83,260.,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,065,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09429600,"COLORADO RIVER BELOW LAGUNA DAM, AZ-CA",Stream,,15030107,188600,sq mi,184600,sq mi,32.81226660000000,-114.5149494000000,24000,10,seconds,Interpolated from MAP.,NAD83,120.81,feet,20,feet,Unknown.,NGVD29,US,06,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09522000,"COLORADO RIVER AT NIB, ABOVE MORELOS DAM, AZ",Stream,,15030107,246700,sq mi,,,32.71865870000000,-114.7188444000000,24000,10,seconds,Interpolated from MAP.,NAD83,119.33,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,04,027,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324343114364901,Colorado River above Interstate 8 Bridge,Stream,,15030107,,,,,32.72860833000000,-114.6136417000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,117,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,027,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324345114425401,Colorado River at MODE II Outfall,Stream,,15030107,,,,,32.72908889000000,-114.7148806000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,106.,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,027,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324348114425301,Colorado River at 100 m above MODE II Outfall,Stream,,15030107,,,,,32.73000833000000,-114.7145917000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,106.,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,027,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-330131114364101,"COLORADO RIVER AT PICACHO STATE PARK, CA",Stream,,15030104,,,,,33.02527778000000,-114.6113056000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,192,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-332203114421201,COLORADO RIVER BELOW OXBOW BRIDGE,Stream,,15030104,,,,,33.36748330000000,-114.7032528000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,226,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-332604114373601,COLORADO RIVER AT TAYLOR FERRY,Stream,,15030104,,,,,33.43443610000000,-114.6267222000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,238,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,012,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-333038114340401,COLORADO RIVER BELOW MCINTYRE PARK,Stream,,15030104,,,,,33.51060000000000,-114.5676694000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,247,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,012,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-335832111425401,VERDE RIVER BELOW HORSESHOE DAM,Stream,,15060203,,,,,33.97566110000000,-111.7149639000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1903,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,013,,,,20200922,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-340555111422201,(A-09-06) 26ABB1 [VERDE RIVER ABOVE TANGLE CREEK],Stream,,15060203,,,,,34.09863889000000,-111.7059778000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2068,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-344459114313801,"Colorado River above I-40 near Topock, AZ",Stream,,15030101,,,,,34.74963610000000,-114.5273889000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,461,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,015,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-355241114401601,"Colorado River above Willow Beach, Arizona",Stream,,15030101,,,,,35.87808330000000,-114.6709722000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,646,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,015,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10336645,GENERAL C NR MEEKS BAY CA,Stream,,16050101,7.44,sq mi,,,39.05185197000000,-120.1185209000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,017,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10336660,BLACKWOOD C NR TAHOE CITY CA,Stream,,16050101,11.2,sq mi,,,39.10740708000000,-120.1621352000000,,5,seconds,Interpolated from MAP.,NAD83,6234.59,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,061,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10336676,WARD C AT HWY 89 NR TAHOE PINES CA,Stream,,16050101,9.70,sq mi,,,39.13212920000000,-120.1576913000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,061,,,,,,,,,NWIS
